Sentence,Emitens,Tweet Date,Sentiment
shm! akhirnya BBCA tembus 10k. Semoga tidak ada stock split lagi ya [URL],"('BBCA',)",28/02/2024,Positive
BMRI &gt cum date &gt 26 Mar (265) BBNI &gt cum date &gt 27 Mar (393) BBCA &gt cum date &gt 28 Mar (42) Simulasi bonus udah turun tabungan saham 80 jt BMRI 11500 x 265 = 3.047.500 BBNI 13500 x 393 = 5.305.500 BBCA 8000 x 42 = 336.000 Total = -+ 8.689.000,"('BMRI', 'BBNI', 'BBCA', 'BMRI', 'BBNI', 'BBCA')",28/02/2024,Neutral
[USERNAME] [USERNAME] [USERNAME] [USERNAME] Apple ama Bca juga gaperna kalah bang berarti [URL],(),28/02/2024,Positive
[USERNAME] [USERNAME] BBCA bisa ambruk 90% dalam 1 malam bang?,"('BBCA',)",28/02/2024,Neutral
"[USERNAME] Saham IDX dan Crypto sama2 market yg tidak efisien.. contoh: Market Cap BREN pernah melewati BBCA, BBRI..Itu emiten asset nya brapa? Valuasi 1000T.. Ada saham gorengan ada juga shitcoin . So gw maen kedua nya. Cuma beda tujuan.Di saham gw saham volalitas rendah, high dividen","('BREN', 'BBCA', 'BBRI')",27/02/2024,Neutral
[USERNAME] gak mau gua mau hp baru ip 13 beserta saham bca,(),27/02/2024,Positive
Trader siapa nih yang kita undang kali ini? ÅEÅEÅEÅE yang bisa tebak bisa dapat Giveaway saldo RDN! ÅEÅE•≥ Referralkan Bluechip dapat saham [HASHTAG] ÅEÅEÅE± kepoin ÅEÅEÅEÅEÅEÅEÅEª [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],(),27/02/2024,Neutral
"Harga Saham BCA Sempat Sentuh Rp10.000, Begini Jawaban Direksi Soal Rumor Stock Split [URL]",(),27/02/2024,Neutral
"[USERNAME] [USERNAME] Goals tahun ini? Target punya 10 lot Saham BBCA Tapi apa daya gaji dibawah UMR, Di usahain mati¬≤an dah Biar ada invest untuk masa Tua nanti","('BBCA',)",27/02/2024,Positive
"Rumah di Citraland, villa di Ubud, uang 8M, emas batang 100kg, saham BCA minimal 100 slot, saham Sinarmas minimal 100 slot, umroh sebulan sekali.",(),27/02/2024,Positive
"Trading Selasa (27/02/2024)ÅEÅEÅEÅE ÅEÅEÅEÄ BBNI, KLBF, BREN, TPIA, ARKO, dan AMRT IHSG Technical ViewÅEÅEÅEÄ IHSG ditutup turun 0.15% kemarin, dan disertai dengan net sell asing ~913 Miliar. Saham yang paling banyak dijual asing adalah BBCA, BMRI, ADRO, TLKM, dan KLBF.","('BBNI', 'KLBF', 'BREN', 'TPIA', 'ARKO', 'AMRT', 'BBCA', 'BMRI', 'ADRO', 'TLKM', 'KLBF')",27/02/2024,Negative
"Investor Asing Jualan Saham Hingga IHSG Turun, BBCA Paling Besar [URL]","('BBCA',)",27/02/2024,Negative
50% saham bca 50% saham paragon 50% saham lvmh dh itu aja,(),26/02/2024,Neutral
"Ya gimana mau nurunin saham mereka secara signifikan, kalo tiap dikasih promo gede langsung pada antri mengular? Mukdi tuh contohnya. Kemarin pas hut bca ngasih cashback gede. Langsung rame mukdinya. Padahal hari biasa sepi",(),26/02/2024,Neutral
"pengin beli saham BBCA, tapi kayanya harus win $500 dulu deh","('BBCA',)",26/02/2024,Positive
"Happy birthday, pacarnya Bang Timo. Katanya mau giveaway saham BBCA hari ini ya?","('BBCA',)",26/02/2024,Positive
"IHSG Melemah ke 7.283, Saham BYAN, BBCA &amp TLKM Menjangkari [URL]","('BYAN', 'BBCA', 'TLKM')",26/02/2024,Negative
"[USERNAME] Gue tahun ini pengen dikasih saham BBCA 1000lot aja, ga muluk2ÅEÅEÅEÅE","('BBCA',)",26/02/2024,Positive
"IHSG Dibuka Melemah Awal Pekan, Saham Bank Jumbo BMRI, BBCA, BBRI Berguguran [URL]","('BMRI', 'BBCA', 'BBRI')",26/02/2024,Negative
"Sisa duit nganggur setelah bayar cicilan dsb ada sekian juta. Kapan harus nyerok saham perbankan? Saran web/sejenisnya dong biar bisa analisa sendiri? Saat ini sender cuma buat invest bukan trading, pegang $BBCA $BBNI $BBRI $BMRI Thankyou yang mau jawab, (cont)","('BBCA', 'BBNI', 'BBRI', 'BMRI')",26/02/2024,Neutral
"Trading Senin (26/02/2024)ÅEÅEÅEÅE ÅEÅEÅEÄ BBRI, BMRI, TLKM, BBTN, FILM, dan BRIS IHSG Technical ViewÅEÅEÅEÄ IHSG ditutup turun 0.61% Jumat lalu, dan disertai dengan net sell asing ~1.37 Triliun. Saham yang paling banyak dijual asing adalah BMRI, BBRI, TLKM, BBNI dan BBCA.","('BBRI', 'BMRI', 'TLKM', 'BBTN', 'FILM', 'BRIS', 'BMRI', 'BBRI', 'TLKM', 'BBNI', 'BBCA')",26/02/2024,Negative
"Akum terus nih asing, uhuy ÅEÅEÅEÅEÅEÅEÅEª Apa sih yang ditunggu? Yuk ikutan referral Bluechip bisa dapat saham ÅEÅE§©ÅEÅEÅEÅEÅEÅEÅEª [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",(),26/02/2024,Positive
Harga telor naiknya lebih cepat daripada harga saham BCA yaoloooo tolooooong ÅEÅEÅE≠ÅEÅEÅE≠ÅEÅEÅE≠,(),25/02/2024,Negative
"bbri alami 2 kali stock splits: artinya harga riil saat neh, Rp 6125: jika tanpa stock splits berarti Rp 61.250,-: cukup mahal, lebe murah daripada saham BBCA n DSSA seh","('BBCA', 'DSSA')",25/02/2024,Negative
ÅEÅEÅEÄTop 3 Emiten Banks pilihan gw: 1. BBCA 2. BBNI 3. BBRI Kalian apa?,"('BBCA', 'BBNI', 'BBRI')",25/02/2024,Positive
"Sekarang kalau mau beli saham BCA, harus punya uang satu juta anjir, valuasi nya emang ngeri",(),25/02/2024,Negative
"shm! pertama kali ikut rups, ini cara daftarnya gimana ya? udh bacaÅEÄÅE masih blm paham, btw rups bca. thx",(),25/02/2024,Neutral
"[USERNAME] Dikit amat, minta bca 10rb lot lah",(),24/02/2024,Positive
[USERNAME] [USERNAME] [USERNAME] Bbca pake sistem nabung aja sih saham sepanjang masa soalnya ÅEÅEÅEÅEÅEÅEÅEÅE,(),24/02/2024,Positive
Pengen jadi bca prioritas dan dapat undangan rups nya saham apa gitu ~,(),24/02/2024,Positive
[USERNAME] Beli saham BCA,(),24/02/2024,Positive
"[USERNAME] Sini gua suapin, bang. Pakai saham BBCA mau?","('BBCA',)",24/02/2024,Positive
[USERNAME] [USERNAME] dibilangin beli saham BCA aja,(),24/02/2024,Positive
[USERNAME] [USERNAME] [USERNAME] Maju mundur nih mau avg down atau nambah muatan bbca,(),24/02/2024,Positive
Akhirnya wishlist saham di awal tahun tercapai ÅEÅEÅEæÅEÅEÅEµÅEÅEÅE® BBRI 5 lot BBCA 2 lot ÅEÄÅE-&gt segera 5 lot BMRI 5 lot ÅEÅEÅEÅEÅEÅEÅEªÅEÅEÅEÅEÅEÅEÅEªÅEÅEÅEÅEÅEÅEÅEª,"('BBRI', 'BBCA', 'BMRI')",23/02/2024,Positive
"Top News: Saham BCA Hampir Rp 10 Ribu, Nasib Hak Angket di PDIP [URL]",(),23/02/2024,Neutral
[USERNAME] [USERNAME] 6 juta ya. Emang ada BBCA di bawah 600rb?,"('BBCA',)",23/02/2024,Neutral
"[USERNAME] [USERNAME] Mungkin 6 juta ya maksudnya, bbca aja harga 1 lot udah lebih dari 600k",(),23/02/2024,Neutral
"Equity Research Analyst BCA Sekuritas Mutiara Nita berharap pemberian Penyertaan Modal Negara (PMN) dapat membantu PT Wijaya Karya Tbk (WIKA) untuk menyelesaikan berbagai proyek yang sedang dikerjakan, termasuk ProyekÅEÄ¶ [URL] [HASHTAG] [HASHTAG] [HASHTAG]","('WIKA',)",23/02/2024,Neutral
"[USERNAME] 4 tahun BBCA, 4 Tahun BMRI.....dr awalnya dikit krena stock split smpe skrng jd puluhan. Dr yg cuman dpet deviden ratusan rbu udah nyentuh 1jtaan.","('BBCA', 'BMRI')",23/02/2024,Positive
[USERNAME] jajan saham bca di stockbit nder..,(),23/02/2024,Positive
"Harga Saham Mendekati Rp 10.000, BCA Berencana Stock Split Lagi? [URL]",(),23/02/2024,Neutral
"BBCA mnurut grafik tren harga saham berdasarkan sumber Yahoo Finance mengalami 2 kali aksi korporasi: stock splits: 2:1 (2008), n 5:1 (2021): artinya harga seharusnya (tanpa stock splits) 10 kali lipat harga per tgl 22 Februari 2024 (9875): 98750 perak aza: dssa: Rp120.250,-","('BBCA',)",22/02/2024,Neutral
Mending 4 lot saham bca atau 2 lot bca 2 lot bbri??,(),22/02/2024,Neutral
pengen saham BBCA 25lot BBRI 25lot,"('BBCA', 'BBRI')",22/02/2024,Positive
"Presdir BCA, Jahja Setiaatmadja, menegaskan belum ada pertimbangan bank untuk melakukan aksi korporasi stock split saham. Sebab, harga saham saat ini masih menarik bagi investor. [HASHTAG] [HASHTAG] [URL]",(),22/02/2024,Neutral
"Presiden Direktur BCA, Jahja Setiaatmadja, mengibaratkan dividen yang akan dibagikan ke pemegang saham sebagai uang sangu jelang lebaran. [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",(),22/02/2024,Positive
[USERNAME] Mau saham BCA atau gudang garam 5 lot aja,(),22/02/2024,Positive
For your infoÅEÄ¶ chipmin kasih tahu aja siapa tahu ada yang belum tahu ÅEÅE§≠ Yuk promo referal Bluechip dapat saham masih ada lohÅEÄ¶ cek disini ÅEÅEÅEÅEÅEÅEÅEª [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],(),22/02/2024,Positive
[USERNAME] Kasih saham BCA,(),22/02/2024,Positive
"Tebar Diskon HUT, Saham BCA Malah Ambruk - [URL] [URL]",(),22/02/2024,Negative
"sekarang kan menghadiri rups shm! bbca ga perlu pake ktur, terus cara konfirmasi kehadiran secara offlinenya gimana? atau langsung dateng ketempatnya aja sesuai jadwal?",(),22/02/2024,Neutral
"BTPN Bakal Rights Issue Rp6,73 T, BCA Ambil 26,68 Juta Saham [URL]","('BTPN',)",22/02/2024,Neutral
"akumulasi saham BBCA, BBRI, BNII, ARTO dalam portofolio warteg BY JO ot C: neh, per tgl 22 Februari 2024: kontrarian seh: [URL]","('BBCA', 'BBRI', 'BNII', 'ARTO')",22/02/2024,Neutral
Saham BBCA 10 lot aja..,"('BBCA',)",22/02/2024,Positive
"[USERNAME] saham BBCA 1000 lot aja,","('BBCA',)",22/02/2024,Positive
"Bank BTPN siap menggelar rights issue Rp 6,7 triliun, di mana BCA akan ikut ambil bagian untuk mempertahankan minimal 1% kepemilikan [URL] [HASHTAG] [HASHTAG] [HASHTAG]","('BTPN',)",22/02/2024,Neutral
"IHSG Diprediksi Rebound, Saham BBCA hingga MDKA Direkomendasikan [URL]","('BBCA', 'MDKA')",21/02/2024,Positive
"8. Iya gue pernah lulus Kedokteran UI jalur SIMAK, tapi pas tes nya gue tidur 40 menit. Bukan karena pinter, tapi karena soalnya terlalu susah jadi mostly asal jawabÅEÅEÅE¨. Dan hoki: lulus! 9. Seumur hidup ga pernah beli saham 4 big banks (BBCA/BBRI/BBNI/BMRI)","('BBCA', 'BBRI', 'BBNI', 'BMRI')",21/02/2024,Neutral
Saham BCA 1% aja gausah banyak banyak,(),21/02/2024,Positive
"Klo setiap sore mati listrik terus jaga lilin kek gini cepet kaya nih, kira kira mau beli saham bca atau saham pln ye",(),21/02/2024,Neutral
"BBCA king of IHSG ÅEÅEÅEÅEÅEÅE§ÅE Ikutan kuy pindah saham ke Bluechip gratis, tis, tis!! ÅEÅEÅEÅE [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]","('BBCA',)",21/02/2024,Positive
"IHSG Turun Tipis usai BI Rate Tetap 6%, Saham BBCA-GOTO Lesu [URL]","('BBCA', 'GOTO')",21/02/2024,Negative
"[USERNAME] [USERNAME] hbd bca, bagi 2 lot saham dong",(),21/02/2024,Positive
"[USERNAME] [USERNAME] [USERNAME] Belajar skill dulu boss, anak owner BCA itu jadi direktur. Baca: JADI DIREKTUR Apa masyarakat komplain? Ga tuh, nyatanya saham bca masih naik kan dan layanan bca masih diterima sebagian besar masyarakat",(),21/02/2024,Positive
"[USERNAME] [USERNAME] Ini sirik namanya bos, hidup itu memang ga fair. Privilege kalau dipakai buat hal benar kenapa tidak? Anak Owner BCA ga semuanya jadi Dirut, tp ada yg diangkat jadi Dirut, dan selama dia bisa kerja, masyarakat juga okay aja. Nyatanya harga saham BCA tetep naik terus",(),21/02/2024,Positive
Kinerja saham bank-bank besar seperti Himbara dan PT Bank Central Asia Tbk (BBCA) kian berkibar. [URL] [HASHTAG] [HASHTAG] [HASHTAG],"('BBCA',)",21/02/2024,Positive
"IHSG Dibuka Melemah Jauhi Level ATH, Saham BBCA, GOTO hingga AMMN Tergelincir [URL]","('BBCA', 'GOTO', 'AMMN')",21/02/2024,Negative
"Trading Idea Rabu (21/2/2024)ÅEÅEÅEÅE ÅEÅEÅEÄ MEDC, MAPI, ADRO, BREN, ICBP, dan ARTO IHSG Technical ViewÅEÅEÅEÄ IHSG ditutup naik 0.77% kemarin, dan disertai dengan net buy asing ~1.29 Triliun. Saham yang paling banyak dibeli asing adalah BBRI, TLKM, BBCA, BBNI, dan GOTO.","('MEDC', 'MAPI', 'ADRO', 'BREN', 'ICBP', 'ARTO', 'BBRI', 'TLKM', 'BBCA', 'BBNI', 'GOTO')",21/02/2024,Positive
"[USERNAME] [USERNAME] [USERNAME] bukannya sama aja ya, 5juta naik 2% di BCA atau BNGA kan juga sama-sama dapet 5juta 100 ribu bang?","('BNGA',)",21/02/2024,Neutral
Saham BCA (BBCA) tembus Rp 10.025 pada perdagangan 20 Februari 2024 kemarin [URL] [HASHTAG] [HASHTAG] [HASHTAG],"('BBCA',)",20/02/2024,Positive
"A Tinggal beli saham bsi, bca, bri, emas 90kg, sisanya di puter di trading Bulan depan dah bisa generate $300.000",(),20/02/2024,Positive
gw gangerti main saham tp bbca skrg 10rb anjrit nyesel cm beli dikit,(),20/02/2024,Positive
Menurut gue harga saham BBCA gila ÅEÅEÅE≠ÅEÅEÅE≠ÅEÅEÅE≠ÅEÅEÅE≠,"('BBCA',)",20/02/2024,Negative
[USERNAME] saham bca mnurun kahÅEÅEÅEÅE,(),20/02/2024,Negative
Fantastis! Biaya Sekolah SMA Binus Serpong Setara 10100 Lembar Saham BBCA [URL],"('BBCA',)",20/02/2024,Neutral
"[USERNAME] Perbankan ajj nder. Bbri, bbca, bmri, bbni, buat mengurangi culture shock volatilitas nya",(),20/02/2024,Positive
Pengen juga nanti di umur segitu kalau gabut mau beli seluruh saham BCA dehh,(),20/02/2024,Positive
BBCA. Contoh bisnis bagus. EPS nya naik dari waktu ke waktu. Dalam 4 tahun eps nya tumbuh hampir 100 persen! 2020 220 2021 255 2022 330 2023 395,"('BBCA',)",20/02/2024,Positive
Tergoda saham bbca/bbri. Gpp kali yaaa beli 1 atau 2 lot ajaÅEÅEÅEÅE,(),19/02/2024,Positive
"ini dia tujuan hidup lainnya, punya 1000 lot saham BBCA~","('BBCA',)",19/02/2024,Positive
"[USERNAME] Didalamnye ade sertifikat tanah dan lembar saham BBCA, sayang kalau mau di lepas.","('BBCA',)",19/02/2024,Positive
"Efek Quick Count Pilpres 2024 Mereda, IHSG Tinggalkan 7.300 Tertekan Saham BBCA cs [URL]","('BBCA',)",19/02/2024,Negative
[USERNAME] mw maling saham BCA,(),19/02/2024,Positive
"[USERNAME] [USERNAME] Kak, berarti sebaiknya naruh sahamnya di perbankan sprti bri, bni, mandiri, bca gtu ya kak?",(),19/02/2024,Neutral
"[USERNAME] Horeeee, minta saham bbca",(),19/02/2024,Positive
"[USERNAME] BMRI, nder... dividennya gede kalo dibanding BBCA. kalo mau BMRI tunggu retracement dulu dikit dari ATHnya di 7375. nanti coba averaging aja kalo ada tambahan uang.. opsi lain BBRI","('BMRI', 'BBCA', 'BMRI', 'BBRI')",19/02/2024,Positive
[USERNAME] BNGA bagus. Klo beli BCA cuma dpt 1 lot doang,"('BNGA',)",19/02/2024,Positive
Nyolong saham BBCA 100%,"('BBCA',)",19/02/2024,Positive
"[USERNAME] bbca dong, saham no 1 di indonesia, tapi kalo kemahalan mending beli bbri, bank bumn dng jumlah cabang dan layanan ATM terbanyak di Indonesia",(),19/02/2024,Positive
shm! Ada uang 1jt mending masuk BBCA/BMRI/BBRI/BNGA?,"('BBCA', 'BMRI', 'BBRI', 'BNGA')",19/02/2024,Neutral
"Trading Idea Senin(19/2/2024)ÅEÅEÅEÅE ÅEÅEÅEÄ BBRI, BREN, CUAN, ADRO, BFIN, dan INCO IHSG Technical ViewÅEÅEÅEÄ IHSG ditutup naik 0.44% kemarin, dan disertai dengan net buy asing ~1.5 Triliun. Saham yang paling banyak dibeli asing adalah BBCA, TLKM, BBRI, BMRI dan ASII.","('BBRI', 'BREN', 'CUAN', 'ADRO', 'BFIN', 'INCO', 'BBCA', 'TLKM', 'BBRI', 'BMRI', 'ASII')",19/02/2024,Positive
Akum jumbo big banks with all time high baru ÅEÅE•∞ saham bank jagoan ku ÅEÅEÅEÅE Jangan lupa ada promo referal Bluechip dapat saham [HASHTAG] hingga [HASHTAG] loh! [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],(),19/02/2024,Positive
[USERNAME] Dibeliin saham BCA kak 10 lot aja ga usah byk2,(),18/02/2024,Positive
"Gov bonds yg rate-nya fix emang good investment sih, tapi kalo gw lebih suka ke reksadananya sambil nungguin stock market crash lagi kyk pas covid kemarin. Begitu market crash, cabut reksadana trs switch ke saham, borong bbca, bbri, bmri wkwk ÅEÅEÅEÅE",(),18/02/2024,Positive
"[USERNAME] saran aja ke Obligasi FR, SBN atau saham blue chip kaya BBCA BBRI BMRI, itu semua tergantung profil resiko njenengan mas.","('BBCA', 'BBRI', 'BMRI')",18/02/2024,Neutral
asem lambung gua naik kyak saham bca,(),18/02/2024,Positive
"laba tahunan 2024 harus naik &amp dividen lebih gede, mandat investor $bbca! Shm! [URL]",(),18/02/2024,Positive
"[USERNAME] - yang low risk aman banget better beli ORI di bibit app - medium risk nunggu ada kebakaran market indonesia terus beli saham BBCA/BBRI di bottom - high risk diputer buat jual beli mobil second, value propositionnya bekas dipakai gubernur otomatif","('BBCA', 'BBRI')",18/02/2024,Neutral
"[USERNAME] [USERNAME] Saham juga haram kalau enggak analisa terlebih dahulu, jatuhnya spekulasi (gharar) Udah spekulasi terus DCA saham BBCA BBRI","('BBCA', 'BBRI')",18/02/2024,Neutral
"[USERNAME] [USERNAME] bener,, gua pnya saham 18% di bca soalnya",(),17/02/2024,Positive
Lo Kheng Hong menilai BCA (BBCA) adalah wonderful company lantaran dalam 23 tahun sahamnya terus melambung [URL] [HASHTAG] [HASHTAG] [HASHTAG],"('BBCA',)",17/02/2024,Positive
[USERNAME] kalo aku taruh di tmrw aku dposit in setahun. atau ga beli saham bbca atau itmg mayan wkwkw nariknya gampang pokoknya seblm 2mgg beli tiket atau pake uangnya tarik aja,(),17/02/2024,Positive
"Investor Asing Getol Borong Saham BBRI, BMRI &amp BBCA saat Pilpres 2024 [URL]","('BBRI', 'BMRI', 'BBCA')",17/02/2024,Positive
"[USERNAME] 1,5 buat budget makan kenyang deh. 1,5 buat dihabisin dijudi. Buat beliin saham BCA mah dah pasti cuan.",(),17/02/2024,Positive
"liat akun salah satu influencer saham, dia DCA saham BBCA tiap bulan dengan konsisten udah return 33% selama 3 tahun bisa nih ditiru? secara masih bingung bingung buat nabung biaya pendidikan anak uwe yang banyak ini lets try boleh lah ya ÅEÅE®","('BBCA',)",17/02/2024,Positive
"dalam 1 taon pergerakan rasio portofolio warteg saham BY JO ot B, neh: 16 Februari 2024 atas 17 Februari 2023: ternyata THS dari 15 Saham yang diinves, hanya 6 Saham yang bertahan NAEK: bbca, bbri, byan, mapi, midi, n IMAS: tapi tetap CUTE positif pada warteg per tgl 16 Feb 2024: [URL]","('IMAS',)",17/02/2024,Neutral
"ÅEÅEÅEÅE aku punya budget nabung 5jt tiap bulannya, aku lg mau nabung 1 lot saham bca tiap bulan, sisanya enak ditabung kemana lagi ya? udah ada dana darurat 6x pengeluaran jd udh ga mikirin itu",(),17/02/2024,Positive
"[USERNAME] BBRI hanya ada RUPS online, jika punya saham scriptless. Tidak bisa datang ke RUPS offline. Antara BBCA atau BMRI, lebih baik datang ke RUPS BMRI.","('BBRI', 'BBCA', 'BMRI', 'BMRI')",17/02/2024,Neutral
Shm! Guys yg pernah ikut RUPS $BBRI $BBCA $BMRI souvenirnya bagusan yang mana? Wkwkw jujur cuma bisa ikut salah satu tp masih galau mau ikut mana,"('BBRI', 'BBCA', 'BMRI')",16/02/2024,Neutral
"Spek anak papi i"" bgt ini mah, naik alphard ya itu? Minimal kalo mau deketin deline punya saham BBCA dulu sih ges 100 lot minimal""","('BBCA',)",16/02/2024,Positive
Saham BCA 10K sob,(),16/02/2024,Positive
"[USERNAME] Dulu gw semua nya nder + bbca juga Tapi sekarang cukup bmri, menurutku growth nya bmri lumayan cepet + dividennya jug lebih gede dari yang lain",(),16/02/2024,Positive
"Buat yang mau beli saham BBCA, bisa langsung beli di Stockbit ya! Download Stockbit di: [URL]","('BBCA',)",16/02/2024,Neutral
Konglomerat Anthoni Salim masih tercatat sebagai salah satu pemegang saham PT Bank Central Asia Tbk (BBCA) atau BCA [URL] [HASHTAG] [HASHTAG] [HASHTAG],"('BBCA',)",16/02/2024,Neutral
"[USERNAME] [USERNAME] Oiya mas, mau nanya. Saya punya 1 lot aja sih BBCA. Avg 9150 itu. Baiknya pas ex date itu saya jual atau hold aja ya? Terimakasih","('BBCA',)",16/02/2024,Neutral
"[USERNAME] Bisa untuk dicoba kalau investasi jangka panjangÅEÄ¶ nabung saham bbca dan bbri, coba dihitung aj perkembangan harga dan devidennyaÅEÄ¶ harusnya aman dan menguntungkan kalau sifatnya investasiÅEÄ¶.",(),16/02/2024,Positive
"Ga bakal aku jual jg si tapi, ambis punya saham BCA banyak soalnyaÅEÅE•∞",(),16/02/2024,Positive
"Salah satu contohnya, dia menyebutkan saham BBCA yang dalam rupiah terlihat naik tinggi tapi kalau dikonversi jadi dolar AS nggak begitu. Saham BBCA katanya nggak kemana-mana.","('BBCA', 'BBCA')",16/02/2024,Negative
"$BBCA tembus Rp10.000, jadi inget obrolan dengan seorang teman kalau dia takut investasi saham nanti uangnya tetep tergerus inflasi dan pelemahan kurs rupiah. [URL]","('BBCA',)",16/02/2024,Negative
"Saham BCA naik, happy ÅEÅE•π",(),16/02/2024,Positive
[USERNAME] [USERNAME] Bbca tanggal tercatat kapan,(),16/02/2024,Neutral
Sell atau hold ya ini? Udh ketauan blm dividen Bbca brp? Kalo sell bagusnya kapan ya shm! [URL],(),16/02/2024,Neutral
"BBCA BMRI duo saham banking yang sungguh saya cintaaa, hampir 50% return dalam setahun ini kayanya ÅEÅE§ÅEÅEÅE§ÅE","('BBCA', 'BMRI')",16/02/2024,Positive
